Year,Pseudodiploria strigosa,Undaria agaricites complex,Stephanocoenia intersepta,Solenastrea bournoni,Siderastrea siderea,Siderastrea radians,Scolymia sp_,Scleractinia,Porites astreoides,Pseudodiploria clivosa,Porites porites complex,Isophyllia rigida,Orbicella annularis complex,Oculina robusta,Oculina diffusa,Mycetophyllia lamarckiana complex,Mycetophyllia ferox,Mycetophyllia aliciae,Montastraea cavernosa,Mussa angulosa,Meandrina meandrites,Millepora complanata,Millepora alcicornis,Madracis decactis complex,Manicina areolata,Madracis aurentenra,Isophyllia sinuosa,Acropora cervicornis,Helioseris cucullata,Acropora palmata,Acropora prolifera,Agaricia fragilis,Agaricia lamarcki,Cladocora arbuscula,Dendrogyra cylindrus,Colpophyllia natans,Dichocoenia stokesii,Diploria labyrinthiformis,Favia fragum,Eusmilia fastigiata
1996,0.002391301,0.001139715,0.000270385,0.000102711,0.008652062,0.000297707,0,0.005277701,0.005424208,0.000376351,0.001273316,0,0.034582617,0,0.000129592,0.000221753,9.46444E-05,8.23101E-05,0.013392489,5.15178E-05,0.000420673,0.007702733,0.004557211,2.88646E-05,2.09731E-05,7.67813E-06,0,0.001972188,0,0.010034891,0,9.78094E-06,0,0,0.001326406,0.005076638,0.000592562,0.001319434,3.16278E-05,4.25206E-05
1997,0.001687241,0.000934664,0.000137593,0.00013881,0.00824403,0.000170026,0,0.003105726,0.006464452,0.00056232,0.00136744,1.06474E-05,0.036855217,0,0.000156019,0.000272773,9.27644E-05,0.000107578,0.012614738,4.34793E-05,0.00028129,0.006168494,0.005838877,5.52867E-05,3.18653E-05,0.000116387,0,0.00184516,3.36344E-05,0.008467523,0,1.19503E-05,7.12928E-05,0,0.001246855,0.003468967,0.000648173,0.000738564,5.51802E-05,7.57353E-05
1998,0.000586572,0.000390734,0.00017457,0.000297646,0.008577185,0.000161188,1.05219E-05,0.000954454,0.006436323,0.000474171,0.000806233,0,0.030978945,0,0.000273928,0.000302443,7.52114E-05,8.82529E-05,0.011825113,0.000061335,0.000249823,0.004448701,0.004082634,5.30201E-05,0,4.55541E-05,1.10816E-05,0.000717984,0,0.00675044,0,0,2.38911E-05,1.10424E-05,0.001080509,0.004511261,0.000583246,0.000755215,0,5.35188E-05
1999,0.000430865,0.000295223,0.000117018,0.000129344,0.007502141,8.92814E-05,0,0.002271527,0.005645686,0.000595454,0.000344343,0,0.029491152,0,0.000286279,7.73212E-05,0.000155493,0.000119863,0.013100011,9.85419E-06,0.000080283,0.000385495,0.003820195,0,0,0.000012722,0,0.001430197,1.18895E-05,0.001302651,0,0,3.04771E-05,0,0.000853197,0.004486636,0.00033636,0.000498903,2.07906E-05,8.00399E-05
2000,0.000521072,0.000519947,0.000284341,0.000117449,0.009071289,0.000126448,9.82087E-06,0.001774332,0.0070703,0.000378388,0.000503433,0,0.027266416,0,0.000296394,0.000242917,0.000107998,0.000108037,0.012970228,5.99582E-05,0.0003285,0.000287393,0.002803074,9.9725E-06,0,0,0,0.001105348,1.00762E-05,0.001292176,0,0,0.000060636,3.14084E-05,0.001023352,0.004443301,0.000459819,0.00047333,3.02188E-05,0.000048877
2001,0.000843421,0.000792209,0.000651529,7.76667E-05,0.009116639,0.000138802,1.05585E-05,0.001078244,0.006364627,0.000507799,0.000520983,0,0.03149844,0,0.000573352,4.51637E-05,7.70202E-05,0.000165386,0.013181558,3.52473E-05,0.000354462,0.000166969,0.003086713,1.18861E-05,0,0,0,0.001095767,0,0.00094672,0,0,0,0,0.000865859,0.004077693,0.0005189,0.000550664,1.22811E-05,3.46924E-05
2002,0.000885881,0.000656141,0.0006266,0.000110815,0.009719581,3.77553E-05,0,0.00049823,0.006931974,0.000375498,0.000516481,0,0.030264526,0,0.000660809,0.000170521,9.82268E-05,0.000131905,0.013578833,0,0.000379005,0.000217537,0.003410136,0,1.31695E-05,1.46103E-05,0,0.001354537,1.44375E-05,0.001967849,0,0,1.36971E-05,0,0.001093123,0.005116511,0.000394038,0.000460818,0.000041369,0.000109013
2003,0.000868317,0.000614584,0.000679294,8.70012E-05,0.006255678,4.24475E-05,0,0.00093585,0.005144626,0.000183644,0.000709539,0,0.0250327,0,0.000560898,9.02185E-06,0.000091035,0.000101778,0.014185619,3.96648E-05,0.000416619,0.000284073,0.003063919,2.87391E-05,0,0.000057852,0,0.008592506,0,0.000915231,0,0,5.16522E-05,0,0.000537067,0.003504606,0.000340523,0.000369097,3.03096E-05,1.70236E-05
2004,0.00051637,0.000452038,0.000657559,4.28431E-05,0.005989581,1.72251E-05,1.00381E-05,0.000556768,0.004007983,0.000410783,0.00071441,0,0.021234618,0,0.000381153,2.56105E-05,0.000127851,0.000159015,0.011246184,1.74034E-05,0.000597468,0.000246472,0.002914248,2.64029E-05,0,0,0,0.009659549,0,0.001917185,0.00125899,0,1.96894E-05,0,0.000333114,0.003328743,0.00026927,0.000341032,2.94411E-05,6.23141E-05
2005,0.000756623,0.000508064,0.000878116,0.000190927,0.006305887,5.06177E-05,8.72965E-06,0.000459815,0.004008471,0.000214287,0.000629457,0,0.021996802,0,0.000602245,3.61578E-05,0.000119947,6.18225E-05,0.010957093,4.39315E-05,0.000406756,6.68324E-05,0.003220253,0,0,0,0,0.009573512,0,0.001338637,0.0011002,0,1.83591E-05,0,0.000300933,0.003184539,0.000421044,0.000332703,3.48578E-05,3.08146E-05
