Year,Pseudodiploria strigosa,Undaria agaricites complex,Stephanocoenia intersepta,Solenastrea bournoni,Siderastrea siderea,Siderastrea radians,Scolymia sp_,Scleractinia,Porites astreoides,Pseudodiploria clivosa,Porites porites complex,Isophyllia rigida,Orbicella annularis complex,Oculina robusta,Oculina diffusa,Mycetophyllia lamarckiana complex,Mycetophyllia ferox,Mycetophyllia aliciae,Montastraea cavernosa,Mussa angulosa,Meandrina meandrites,Millepora complanata,Millepora alcicornis,Madracis decactis complex,Manicina areolata,Madracis aurentenra,Isophyllia sinuosa,Acropora cervicornis,Helioseris cucullata,Acropora palmata,Acropora prolifera,Agaricia fragilis,Agaricia lamarcki,Cladocora arbuscula,Dendrogyra cylindrus,Colpophyllia natans,Dichocoenia stokesii,Diploria labyrinthiformis,Favia fragum,Eusmilia fastigiata
1996,0.002391301,0.001139715,0.000270384,0.000102711,0.008652062,0.000297707,0,0.005277701,0.005424208,0.000376351,0.001273317,0,0.034582617,0,0.000129592,0.000221753,9.46E-05,8.23E-05,0.013392489,5.15E-05,0.000420673,0.007702734,0.004557211,2.89E-05,2.10E-05,7.68E-06,0,0.001972188,0,0.010034891,0,9.78E-06,0,0,0.001326406,0.005076638,0.000592562,0.001319434,3.16E-05,4.25E-05
1997,0.001687241,0.000934664,0.000137593,0.00013881,0.00824403,0.000170026,0,0.003105726,0.006464452,0.00056232,0.00136744,1.06E-05,0.036855217,0,0.000156019,0.000272773,9.28E-05,0.000107578,0.012614738,4.35E-05,0.00028129,0.006168494,0.005838877,5.53E-05,3.19E-05,0.000116387,0,0.00184516,3.36E-05,0.008467523,0,1.20E-05,7.13E-05,0,0.001246855,0.003468967,0.000648173,0.000738563,5.52E-05,7.57E-05
1998,0.000586571,0.000390734,0.00017457,0.000297646,0.008577185,0.000161188,1.05E-05,0.000954454,0.006436323,0.000474171,0.000806233,0,0.030978945,0,0.000273928,0.000302443,7.52E-05,8.83E-05,0.011825113,0.000061335,0.000249823,0.004448701,0.004082634,5.30E-05,0,4.56E-05,1.11E-05,0.000717984,0,0.00675044,0,0,2.39E-05,1.10E-05,0.001080508,0.004511261,0.000583246,0.000755215,0,5.35E-05
1999,0.000430865,0.000295223,0.000117018,0.000129344,0.00750214,8.93E-05,0,0.002271527,0.005645686,0.000595454,0.000344343,0,0.029491152,0,0.000286279,7.73E-05,0.000155493,0.000119863,0.013100011,9.85E-06,0.000080283,0.000385495,0.003820195,0,0,0.000012722,0,0.001430197,1.19E-05,0.001302651,0,0,3.05E-05,0,0.000853197,0.004486636,0.00033636,0.000498903,2.08E-05,8.00E-05
2000,0.000521072,0.000519947,0.000284341,0.000117449,0.009071288,0.000126448,9.82E-06,0.001774332,0.0070703,0.000378388,0.000503433,0,0.027266416,0,0.000296394,0.000242917,0.000107998,0.000108037,0.012970228,6.00E-05,0.0003285,0.000287392,0.002803074,9.97E-06,0,0,0,0.001105348,1.01E-05,0.001292176,0,0,6.06E-05,3.14E-05,0.001023352,0.004443301,0.000459819,0.000473329,3.02E-05,0.000048877
2001,0.000843421,0.00079221,0.000651529,7.77E-05,0.009116638,0.000138802,1.06E-05,0.001078244,0.006364627,0.000507799,0.000520983,0,0.03149844,0,0.000573352,4.52E-05,7.70E-05,0.000165386,0.013181558,3.52E-05,0.000354462,0.000166969,0.003086713,1.19E-05,0,0,0,0.001095767,0,0.00094672,0,0,0,0,0.000865859,0.004077693,0.0005189,0.000550664,1.23E-05,3.47E-05
2002,0.000885881,0.000656141,0.0006266,0.000110815,0.009719581,3.78E-05,0,0.00049823,0.006931974,0.000375498,0.000516481,0,0.030264526,0,0.000660809,0.000170521,9.82E-05,0.000131904,0.013578833,0,0.000379005,0.000217537,0.003410136,0,1.32E-05,1.46E-05,0,0.001354537,1.44E-05,0.001967849,0,0,1.37E-05,0,0.001093123,0.005116511,0.000394038,0.000460818,0.000041369,0.000109013
2003,0.000868317,0.000614584,0.000679294,8.70E-05,0.006255678,4.24E-05,0,0.00093585,0.005133791,0.000299288,0.000724193,0,0.025032701,0,0.000560898,9.02E-06,0.000091035,0.000101778,0.014107771,3.97E-05,0.00041662,0.000284073,0.003063919,2.87E-05,0,5.79E-05,0,0.009095876,0,0.000915231,0,0,5.17E-05,0,0.000537067,0.003504606,0.000340523,0.000369097,3.03E-05,1.70E-05
2004,0.000467111,0.000446082,0.000657559,4.28E-05,0.005911641,0.000017225,1.00E-05,0.000560123,0.004002589,0.000481938,0.00071441,0,0.021330635,0,0.000381153,2.56E-05,0.000127851,0.000159015,0.01119707,1.74E-05,0.000597468,0.000246472,0.002942643,2.64E-05,0,0,0,0.009972944,0,0.002094021,0.001762234,0,1.97E-05,0,0.000333114,0.003334827,0.00026927,0.000341032,0.000029441,6.23E-05
2005,0.00074255,0.000492037,0.000874904,0.000190927,0.006221054,9.69E-05,8.73E-06,0.000459815,0.003999194,0.000182722,0.000624089,0,0.022069143,0,0.000602245,3.62E-05,0.000119947,6.18E-05,0.010896304,4.39E-05,0.000406756,6.68E-05,0.00326464,0,0,0,0,0.008947202,0,0.001560582,0.001374924,0,1.84E-05,0,0.000300934,0.003184539,0.000418371,0.000332703,2.63E-05,3.08E-05
