Year,Richness,Shannon,Shannon_Effective_Number,Simpson,Simpson_Effective_Number
1996,43,2.343915142,10.42196024,0.848539341,6.602374537
1997,43,2.276809251,9.745535195,0.826934034,5.778143569
1998,41,2.20653386,9.08417474,0.820616979,5.574663614
1999,42,2.037295006,7.669834259,0.78543742,4.660644935
2000,44,2.101299408,8.176787994,0.801807179,5.045591447
2001,40,2.03170782,7.62710096,0.779149958,4.527959287
2002,40,2.084947749,8.044171158,0.797607135,4.940885633
2003,41,2.139682918,8.496743034,0.817259704,5.472246804
2004,43,2.237243959,9.367478523,0.835678942,6.085647267
2005,40,2.214819902,9.159759307,0.831013272,5.917624488
2006,41,2.161702613,8.68591383,0.818410424,5.506924029
2007,41,2.174756337,8.800040618,0.824179876,5.687631061
2008,41,2.213815665,9.150565354,0.82885737,5.843079536
2009,43,2.171823919,8.774273017,0.823501474,5.665769694
2010,46,2.377818924,10.78136223,0.867649401,7.555689262
2011,46,2.360223917,10.59332321,0.866030892,7.464407403
2012,46,2.381368584,10.8197004,0.870458177,7.719514623
2013,45,2.354990981,10.53803382,0.864231751,7.36549233
2014,45,2.419489185,11.24011622,0.877181229,8.142077869
2015,43,2.356587835,10.55487497,0.868973666,7.632053542
2016,41,2.27681657,9.745606519,0.85958453,7.121722421
2017,38,2.286377826,9.839233638,0.863045454,7.30169261
