YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM
1999,FLA KEYS,ANC LYOL,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ATH STIP,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,CHR ATHE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HAR HUME,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HAR JAGU,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HEM BRAS,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP HARR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,INE VITT,40881.330837791575,1663416087.1904979,161,440,16893,3823793.000748641
1999,FLA KEYS,JEN SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SAR AURI,0,0,161,440,16893,3823793.000748641
2000,FLA KEYS,ANC LYOL,1476957.871892789,962927828124.9613,228,527,16893,3823793.000748641
2000,FLA KEYS,ATH STIP,8399.985689799449,70520349.08091088,228,527,16893,3823793.000748641
2000,FLA KEYS,CHR ATHE,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HAR HUME,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HAR JAGU,1347330.0965876884,1603305310176.4836,228,527,16893,3823793.000748641
2000,FLA KEYS,HEM BRAS,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HYP HARR,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,INE VITT,1980.5948473658086,4091816.1641473933,228,527,16893,3823793.000748641
2000,FLA KEYS,JEN SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SAR AURI,0,0,228,527,16893,3823793.000748641
2001,FLA KEYS,ANC LYOL,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,ATH STIP,45626194.84940214,463702375640839.1,305,742,16893,3823793.000748641
2001,FLA KEYS,CHR ATHE,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,HAR HUME,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,HAR JAGU,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,HEM BRAS,928.0501570514076,820497.3467857142,305,742,16893,3823793.000748641
2001,FLA KEYS,HYP HARR,17606923.554366518,278974864122830.62,305,742,16893,3823793.000748641
2001,FLA KEYS,INE VITT,43926.914794491335,1914661093.223954,305,742,16893,3823793.000748641
2001,FLA KEYS,JEN SPE.,2723.317915127987,7415098.80789948,305,742,16893,3823793.000748641
2001,FLA KEYS,SAR AURI,0,0,305,742,16893,3823793.000748641
2002,FLA KEYS,ANC LYOL,31081396.59618212,482738601483269.8,356,669,16893,3823793.000748641
2002,FLA KEYS,ATH STIP,11456608.005897742,105605372477457.89,356,669,16893,3823793.000748641
2002,FLA KEYS,CHR ATHE,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,HAR HUME,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,HAR JAGU,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,HEM BRAS,48681.13506744456,2376609985.23027,356,669,16893,3823793.000748641
2002,FLA KEYS,HYP HARR,7618957.9176892135,44381432496603.234,356,669,16893,3823793.000748641
2002,FLA KEYS,INE VITT,701232.1836269676,360643683719.7584,356,669,16893,3823793.000748641
2002,FLA KEYS,JEN SPE.,13569012.543604862,100571078684536.66,356,669,16893,3823793.000748641
2002,FLA KEYS,SAR AURI,0,0,356,669,16893,3823793.000748641
2003,FLA KEYS,ANC LYOL,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,ATH STIP,74511941.42976208,5527528142817673,237,434,16893,3823793.000748641
2003,FLA KEYS,CHR ATHE,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,HAR HUME,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,HAR JAGU,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,HEM BRAS,473364.08589377603,81906164509.37202,237,434,16893,3823793.000748641
2003,FLA KEYS,HYP HARR,87242741.57066746,3064821895581940,237,434,16893,3823793.000748641
2003,FLA KEYS,INE VITT,1418568.3012131583,749694530378.8347,237,434,16893,3823793.000748641
2003,FLA KEYS,JEN SPE.,138828753.82219118,13118092308002570,237,434,16893,3823793.000748641
2003,FLA KEYS,SAR AURI,8076909.317114852,65496620391411.77,237,434,16893,3823793.000748641
2004,FLA KEYS,ANC LYOL,37906007.330531344,1432606291955401.7,127,244,16771,3796177.8497339403
2004,FLA KEYS,ATH STIP,3316775.6414214927,11005652671148.09,127,244,16771,3796177.8497339403
2004,FLA KEYS,CHR ATHE,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAR HUME,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAR JAGU,3826195.471552614,14327135170367.191,127,244,16771,3796177.8497339403
2004,FLA KEYS,HEM BRAS,525923.0790521479,276461898926.209,127,244,16771,3796177.8497339403
2004,FLA KEYS,HYP HARR,382322142.4450583,143232821402622500,127,244,16771,3796177.8497339403
2004,FLA KEYS,INE VITT,379947.9490237286,37473566346.06811,127,244,16771,3796177.8497339403
2004,FLA KEYS,JEN SPE.,189530036.65265676,35936825048646832,127,244,16771,3796177.8497339403
2004,FLA KEYS,SAR AURI,3262.1706299633593,10640137.913258398,127,244,16771,3796177.8497339403
2005,FLA KEYS,ANC LYOL,0,0,256,498,16893,3823793.000748641
2005,FLA KEYS,ATH STIP,11434206.695142344,38936485902799.414,256,498,16893,3823793.000748641
2005,FLA KEYS,CHR ATHE,0,0,256,498,16893,3823793.000748641
2005,FLA KEYS,HAR HUME,0,0,256,498,16893,3823793.000748641
2005,FLA KEYS,HAR JAGU,0,0,256,498,16893,3823793.000748641
