YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM
2000,FLA KEYS,CEP CRUE,1127105.3932371703,13923949642.149626,228,527,16893,3823793.000748641
2000,FLA KEYS,CEP FULV,65777.49850919636,835201269.4339468,228,527,16893,3823793.000748641
2000,FLA KEYS,DER INER,1980.5948473658086,3698598.4665884487,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI FLAV,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI ITAJ,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI MORI,789149.2461504051,11023589073.924595,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI NIVE,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI STRI,16076.625645208056,111020461.31924862,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC ACUT,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC BONA,561428.8050162072,8288174265.765965,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC INTE,26273.14578991205,634522509.356386,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC MICR,56638.240030973444,487668559.04965335,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC PHEN,73352.83992167501,772847411.6499801,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC TIGR,18526.858772261803,114779922.22846502,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC VENE,46205.28376340007,349506040.563331,228,527,16893,3823793.000748641
2000,FLA KEYS,SRR SPE.,0,0,228,527,16893,3823793.000748641
2001,FLA KEYS,CEP CRUE,1006731.8495879725,9988010206.47474,305,742,16893,3823793.000748641
2001,FLA KEYS,CEP FULV,43107.48666660629,241506012.36282477,305,742,16893,3823793.000748641
2001,FLA KEYS,DER INER,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI FLAV,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI ITAJ,1797.476020085179,2664359.9198474926,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI MORI,857182.3434759622,9523451129.581907,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI NIVE,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI STRI,106875.43220380765,967899191.0417649,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC ACUT,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC BONA,893813.6663362216,21451938269.482433,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC INTE,44409.58266277117,515173232.04481727,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC MICR,15268.080478632459,112197007.610383,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC PHEN,108100.5441881765,981374052.9174389,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC TIGR,987.23267343553,692802.5104605067,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC VENE,147268.44581605258,1502736028.8686354,305,742,16893,3823793.000748641
2001,FLA KEYS,SRR SPE.,0,0,305,742,16893,3823793.000748641
2002,FLA KEYS,CEP CRUE,1437021.4196018826,15120434481.399666,356,669,16893,3823793.000748641
2002,FLA KEYS,CEP FULV,199982.35872413238,3296952906.363733,356,669,16893,3823793.000748641
2002,FLA KEYS,DER INER,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI FLAV,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI ITAJ,616.1850636249183,387494.38784274977,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI MORI,689565.6710850697,6036169958.7311125,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI NIVE,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI STRI,78604.84328650328,1180127701.6907063,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC ACUT,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC BONA,751846.2786137641,10494133357.643038,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC INTE,41311.07904542462,405601237.75304633,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC MICR,41003.15479454358,389180975.2782068,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC PHEN,62692.579587603075,516650394.3949449,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC TIGR,36868.815679304105,383872923.6821186,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC VENE,52609.54617179165,1018051144.9732267,356,669,16893,3823793.000748641
2002,FLA KEYS,SRR SPE.,0,0,356,669,16893,3823793.000748641
2003,FLA KEYS,CEP CRUE,887644.0080805789,12152415739.21316,237,434,16893,3823793.000748641
2003,FLA KEYS,CEP FULV,117368.40211978891,1075807574.3450108,237,434,16893,3823793.000748641
2003,FLA KEYS,DER INER,24230.72795134456,589469583.5227059,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI FLAV,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI ITAJ,0,0,237,434,16893,3823793.000748641
