YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM
1999,FLA KEYS,ANI SURI,117076.94341781677,6605618657.303339,161,440,16893,3823793.000748641
1999,FLA KEYS,ANI VIRG,3535875.626884674,163749892224.8943,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE ALBU,17639.71272264604,150460933.07000455,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE AURO,40970014.11881104,273432200833687.47,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE CARB,377090.85867802455,26792498834.29838,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE CHRY,1905904.5904162817,902215918821.6659,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE FLAV,11899194.467253357,15484804451516.953,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE MACR,66960.8726515914,733566161.0792067,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE MELA,2164395.880488202,3609596332773.8276,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE PARR,702451.7839563165,105647442512.99524,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE PLUM,19231896.886333756,11347175571227.857,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE SCIU,16603735.41289504,29795287333750.67,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE SPE.,2067333.4935565908,1327505695141.164,161,440,16893,3823793.000748641
1999,FLA KEYS,HAE STRI,38748.923478106786,1491104179.791304,161,440,16893,3823793.000748641
2000,FLA KEYS,ANI SURI,60781.664558063094,644209796.7674338,228,527,16893,3823793.000748641
2000,FLA KEYS,ANI VIRG,4432725.520235972,605061421608.5859,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE ALBU,18588.51388998173,181968890.03912818,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE AURO,34004702.28859226,115596834625645.19,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE CARB,436950.9247385384,22439892496.262573,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE CHRY,754114.3894008186,80504426627.89574,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE FLAV,14166384.101036854,9442991484160.084,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE MACR,82980.23085724979,1028067890.3790729,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE MELA,388700.02749795094,73329000004.06467,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE PARR,856208.1324455214,369617905854.9936,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE PLUM,27773780.927019875,12997582411838.25,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE SCIU,13147451.904710904,5063981513225.566,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE SPE.,17356119.452297166,39426020504618.28,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE STRI,22308.7440028523,123408305.12799035,228,527,16893,3823793.000748641
2001,FLA KEYS,ANI SURI,231942.0838210521,5633051851.521395,305,742,16893,3823793.000748641
2001,FLA KEYS,ANI VIRG,4611773.92926107,453019996255.36816,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE ALBU,238761.58435807884,20637847639.96486,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE AURO,71722431.43949795,442978576876790.6,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE CARB,654693.4156334219,50469031482.72057,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE CHRY,6413188.247944291,17435790727316.479,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE FLAV,15218870.455610136,7751550781425.042,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE MACR,110303.09959568958,1885354923.5249197,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE MELA,3662189.5227132607,4274312297554.4478,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE PARR,661385.7150949005,127401224581.36166,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE PLUM,44722003.369422905,40671944534878.86,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE SCIU,17555418.77800498,10984248245473.242,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE SPE.,40022254.609787926,202655592967662.03,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE STRI,1006502.6668889376,192170681778.0991,305,742,16893,3823793.000748641
2002,FLA KEYS,ANI SURI,209785.48708109275,4730967717.467237,356,669,16893,3823793.000748641
2002,FLA KEYS,ANI VIRG,3944788.8381603686,198906889341.69955,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE ALBU,55143.56796927979,602661091.3727491,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE AURO,21045718.376793418,45490745050012.43,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE CARB,1036060.136040087,364801701954.6074,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE CHRY,2264831.0086700623,973893214786.7009,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE FLAV,10892138.672149427,3084507482312.8696,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE MACR,600077.8639405078,45666213923.86233,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE MELA,884072.0902563714,201223892765.4589,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE PARR,581659.958169289,86875074080.82669,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE PLUM,29787765.853630394,32035742960389.465,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE SCIU,11073283.71573341,2980608959042.461,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE SPE.,11311939.293506445,5765777165765.236,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE STRI,516719.29293823394,47597183947.58718,356,669,16893,3823793.000748641
2003,FLA KEYS,ANI SURI,257753.57787786212,29386004702.113094,237,434,16893,3823793.000748641
2003,FLA KEYS,ANI VIRG,2979729.787525676,228410186659.07956,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE ALBU,326134.23236831,65076974234.90599,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE AURO,52091082.33774733,284995207009160,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE CARB,509665.94488452515,46718090342.7642,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE CHRY,2624313.5086978227,1109381350753.4856,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE FLAV,12018177.292661417,4760374010027.137,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE MACR,633658.1150587548,243105112645.93558,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE MELA,5791405.814426009,7071734053275.963,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE PARR,429160.2151337418,54668535020.29104,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE PLUM,28728838.171805546,17174716839917.32,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE SCIU,9405403.24053013,2362104836343.0503,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE SPE.,51816793.49000363,212036527953199.44,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE STRI,282446.425856774,23516543990.26989,237,434,16893,3823793.000748641
2004,FLA KEYS,ANI SURI,199940.52822636205,3685439592.7161555,127,244,16771,3796177.8497339403
2004,FLA KEYS,ANI VIRG,12428352.114216058,40181867843502.54,127,244,16771,3796177.8497339403
