YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM
1999,FLA KEYS,ABU SAXA,7342660.927639619,6123719472725.218,161,440,16893,3823793.000748641
1999,FLA KEYS,ACA POLY,19374.442876245324,113594269.41507621,161,440,16893,3823793.000748641
1999,FLA KEYS,ACA QUAD,143233.9738244855,1550481681.5161035,161,440,16893,3823793.000748641
1999,FLA KEYS,ACA SOLA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,AHL EGMO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ALB VULP,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ALU MONO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ALU SCHO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ALU SCRI,68269.63160292704,1017122341.8490858,161,440,16893,3823793.000748641
1999,FLA KEYS,ALU SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,AMB PINO,9028.623836266648,76652540.15769704,161,440,16893,3823793.000748641
1999,FLA KEYS,ANT OCEL,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,APO AURO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,APO BINO,8760.285179526765,76922740.28106982,161,440,16893,3823793.000748641
1999,FLA KEYS,APO MACU,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,APO PHEN,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,APO PSEU,5840.19011968451,34112787.392878,161,440,16893,3823793.000748641
1999,FLA KEYS,APO QUAD,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,APO TOWN,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ARC PROB,11052.612749736116,122123449.79230867,161,440,16893,3823793.000748641
1999,FLA KEYS,ARC RHOM,51472.63210595243,1997288790.7572908,161,440,16893,3823793.000748641
1999,FLA KEYS,AST GUTT,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,AST PUNC,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,AST SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,AST STEL,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,AUL MACU,135220.08063702736,1655426779.5714033,161,440,16893,3823793.000748641
1999,FLA KEYS,BAL CAPR,129773.35694856975,2876133632.3866706,161,440,16893,3823793.000748641
1999,FLA KEYS,BAL SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,BAL VETU,285690.08479487675,3719982239.5943155,161,440,16893,3823793.000748641
1999,FLA KEYS,BOT LUNA,5526.306374868058,30678025.231975976,161,440,16893,3823793.000748641
1999,FLA KEYS,BOT OCEL,1492.0978475701852,2245324.7405624553,161,440,16893,3823793.000748641
1999,FLA KEYS,BRO BARB,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,CAL BAJO,22239.394827842174,488513462.56140226,161,440,16893,3823793.000748641
1999,FLA KEYS,CAL CALA,1598538.954024352,32873339209.479122,161,440,16893,3823793.000748641
1999,FLA KEYS,CAL NODO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,CAL PENN,9028.623836266648,76652540.15769704,161,440,16893,3823793.000748641
1999,FLA KEYS,CAL PROR,43801.425897633824,1291049241.3923109,161,440,16893,3823793.000748641
1999,FLA KEYS,CAL SPE.,8760.285179526765,76584802.98688126,161,440,16893,3823793.000748641
1999,FLA KEYS,CAN MACR,25531.803502320894,180475026.70835242,161,440,16893,3823793.000748641
1999,FLA KEYS,CAN PULL,33307.70245869717,251027348.1319852,161,440,16893,3823793.000748641
1999,FLA KEYS,CAN ROST,1516536.978876245,29988884096.708824,161,440,16893,3823793.000748641
1999,FLA KEYS,CAN SUFF,176006.6500139955,17794988009.55978,161,440,16893,3823793.000748641
1999,FLA KEYS,CAR HIPP,11052.612749736116,122123449.79230867,161,440,16893,3823793.000748641
1999,FLA KEYS,CEN ARGI,8760.285179526765,76584802.98688126,161,440,16893,3823793.000748641
1999,FLA KEYS,CHA CAPI,2746403.170425687,76798555158.42555,161,440,16893,3823793.000748641
1999,FLA KEYS,CHA FABE,109357.69368538122,2026758052.145673,161,440,16893,3823793.000748641
1999,FLA KEYS,CHA OCEL,2560797.940991697,60808572071.84577,161,440,16893,3823793.000748641
1999,FLA KEYS,CHA SEDE,907329.5673001827,18888934209.274075,161,440,16893,3823793.000748641
1999,FLA KEYS,CHA STRI,608328.3393929345,6480234801.118249,161,440,16893,3823793.000748641
1999,FLA KEYS,CHI ANTE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,CHI SCHO,4380.142589763383,19230685.070267454,161,440,16893,3823793.000748641
1999,FLA KEYS,CHR CYAN,784864.2940561012,45074100785.79182,161,440,16893,3823793.000748641
1999,FLA KEYS,CHR ENCH,2814.8177462102094,6275006.8438639045,161,440,16893,3823793.000748641
1999,FLA KEYS,CHR INSO,63868.47534615768,1576544161.0841513,161,440,16893,3823793.000748641
1999,FLA KEYS,CHR MULT,3048242.5451360517,3167753871178.382,161,440,16893,3823793.000748641
1999,FLA KEYS,CHR SCOT,515160.06956971466,168381176713.59348,161,440,16893,3823793.000748641
1999,FLA KEYS,CLE PARR,3222208.9091607374,2367619189540.9487,161,440,16893,3823793.000748641
1999,FLA KEYS,DIO HOLO,39061.85447497742,319395431.385795,161,440,16893,3823793.000748641
1999,FLA KEYS,DIO HYST,7262.181107007965,52732012.24987641,161,440,16893,3823793.000748641
1999,FLA KEYS,DIO SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,DIP ARGE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,DIP HOLB,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,DOR MEGA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ECH NEUC,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ELO SAUR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,EMM ATLA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ENC NIGR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,EQU LANC,6336.8746311303985,23419321.834703747,161,440,16893,3823793.000748641
1999,FLA KEYS,EQU PUNC,268.3386567398838,78653.56867026951,161,440,16893,3823793.000748641
1999,FLA KEYS,EUC ARGE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,EUC GULA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,FIS TABA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,GER CINE,190059.37072228116,12450259636.974022,161,440,16893,3823793.000748641
1999,FLA KEYS,GRA LORE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,GYM FUNE,79055.14549879462,1873752772.193042,161,440,16893,3823793.000748641
1999,FLA KEYS,GYM MILI,14046.075466773998,97384819.64972696,161,440,16893,3823793.000748641
1999,FLA KEYS,GYM MORI,38828.826932835495,295231841.38479596,161,440,16893,3823793.000748641
1999,FLA KEYS,GYM NIGR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,GYM SAXI,11052.612749736116,122123449.79230867,161,440,16893,3823793.000748641
1999,FLA KEYS,GYM VICI,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HAL BIVI,19904402.971133895,2873003251345.3823,161,440,16893,3823793.000748641
1999,FLA KEYS,HAL CAUD,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HAL CYAN,35041.14071810706,290676472.4588966,161,440,16893,3823793.000748641
1999,FLA KEYS,HAL GARN,12538267.426260827,1388266393185.9924,161,440,16893,3823793.000748641
1999,FLA KEYS,HAL MACU,5235315.800230699,338875026812.3205,161,440,16893,3823793.000748641
1999,FLA KEYS,HAL PICT,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HAL POEY,253944.49091713902,28435268166.649944,161,440,16893,3823793.000748641
1999,FLA KEYS,HAL RADI,862803.4298078575,15047077032.6314,161,440,16893,3823793.000748641
1999,FLA KEYS,HET CRUE,18448.620516104937,306734437.1301099,161,440,16893,3823793.000748641
1999,FLA KEYS,HET LONG,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HIP EREC,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HOL ADSC,624192.8394348872,62335910256.06118,161,440,16893,3823793.000748641
1999,FLA KEYS,HOL BERM,448369.06626227306,12098938731.433308,161,440,16893,3823793.000748641
1999,FLA KEYS,HOL CILI,401437.1546013367,5619717957.146638,161,440,16893,3823793.000748641
1999,FLA KEYS,HOL RUFU,297802.41900422063,28276011413.448925,161,440,16893,3823793.000748641
1999,FLA KEYS,HOL SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HOL TOWN,14442.25935994217,129027484.33376859,161,440,16893,3823793.000748641
1999,FLA KEYS,HOL TRIC,491686.6427707176,9426815289.847366,161,440,16893,3823793.000748641
1999,FLA KEYS,LAB BUCC,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,LAB FILA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,LAB GOBI,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,LAB SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,LAC BICA,39625.79585852576,537082245.0147296,161,440,16893,3823793.000748641
1999,FLA KEYS,LAC TRIG,9296.962493006533,76743105.9054149,161,440,16893,3823793.000748641
1999,FLA KEYS,LAC TRIQ,287382.5141524779,10354664501.517927,161,440,16893,3823793.000748641
1999,FLA KEYS,LAG RHOM,22105.22549947223,230743033.0672047,161,440,16893,3823793.000748641
1999,FLA KEYS,MAL PLUM,223108.27422662548,5541824091.460471,161,440,16893,3823793.000748641
1999,FLA KEYS,MAN BIRO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,MIC CHRY,431152.63168761256,16019856337.205698,161,440,16893,3823793.000748641
1999,FLA KEYS,MON CILI,1761.3147035503086,3159028.0584688764,161,440,16893,3823793.000748641
1999,FLA KEYS,MON TUCK,59007.619376874776,591193901.8647566,161,440,16893,3823793.000748641
1999,FLA KEYS,MUL MART,748629.7848505372,100015304924.53362,161,440,16893,3823793.000748641
1999,FLA KEYS,MUR RETI,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,MYR JACO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,NEO MARI,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ODO DENT,103116.34660871398,2137486844.841463,161,440,16893,3823793.000748641
1999,FLA KEYS,OGC SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,OPI AURI,815255.3670171218,20190002619.490597,161,440,16893,3823793.000748641
1999,FLA KEYS,OPI MACR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,OPI SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,OPI WHIT,268.3386567398838,78653.56867026951,161,440,16893,3823793.000748641
1999,FLA KEYS,ORT CHRY,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,PAG PAGR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,PAR ACUM,234829.19296048838,7642269687.467328,161,440,16893,3823793.000748641
1999,FLA KEYS,PAR ALBI,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,PAR BAIR,4480.774317027583,20036088.86869191,161,440,16893,3823793.000748641
1999,FLA KEYS,PAR UMBR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,PEM SCHO,4837.350921957371,11484506.411203096,161,440,16893,3823793.000748641
1999,FLA KEYS,PHA XENU,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,POM ARCU,2646691.9890618995,71563940303.28511,161,440,16893,3823793.000748641
1999,FLA KEYS,POM PARU,377701.58991225855,5564069127.51349,161,440,16893,3823793.000748641
1999,FLA KEYS,PRI AREN,268.3386567398838,78653.56867026951,161,440,16893,3823793.000748641
1999,FLA KEYS,PRI OPHR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,PRO ACUL,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,PSE MACU,1283825.6260445265,65115987374.646416,161,440,16893,3823793.000748641
1999,FLA KEYS,REM REMO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SAR CORU,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SAR VEXI,1492.0978475701852,2245324.7405624553,161,440,16893,3823793.000748641
1999,FLA KEYS,SCO CARI,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SCO PLUM,17029.994389000032,108109219.54054125,161,440,16893,3823793.000748641
1999,FLA KEYS,SER PHOE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SPH SPEN,4157.905276449768,15198668.695651188,161,440,16893,3823793.000748641
1999,FLA KEYS,SPH TEST,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,STE ADUS,660078.9762423214,15466281145.090813,161,440,16893,3823793.000748641
1999,FLA KEYS,STE DIEN,199380.84666443142,35308400892.99788,161,440,16893,3823793.000748641
1999,FLA KEYS,STE HISP,4380.142589763383,19230685.070267454,161,440,16893,3823793.000748641
1999,FLA KEYS,STE LEUC,706812.4963704215,12664362081.566847,161,440,16893,3823793.000748641
1999,FLA KEYS,STE PART,43378199.16625497,31119790103020.664,161,440,16893,3823793.000748641
1999,FLA KEYS,STE PLAN,2779682.938999826,189070449567.54193,161,440,16893,3823793.000748641
1999,FLA KEYS,STE SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,STE VARI,4298291.181640469,397501281301.95374,161,440,16893,3823793.000748641
1999,FLA KEYS,SYA MICR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SYN FOET,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SYN INTE,43801.425897633824,511923637.086849,161,440,16893,3823793.000748641
1999,FLA KEYS,SYN SCOV,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SYN SYNO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,THA BIFA,58864621.2611511,23943800271598.58,161,440,16893,3823793.000748641
1999,FLA KEYS,XYR MART,13854.00333107677,139219955.81683263,161,440,16893,3823793.000748641
1999,FLA KEYS,XYR NOVA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,XYR SPE.,189516.12184986082,25950641153.68993,161,440,16893,3823793.000748641
1999,FLA KEYS,XYR SPLE,205105.96305359586,5227912563.440996,161,440,16893,3823793.000748641
2000,FLA KEYS,ABU SAXA,5451283.7791079115,1244764901068.854,228,527,16893,3823793.000748641
2000,FLA KEYS,ACA POLY,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ACA QUAD,116579.80639574619,1346604631.69109,228,527,16893,3823793.000748641
2000,FLA KEYS,ACA SOLA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AHL EGMO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ALB VULP,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ALU MONO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ALU SCHO,6493.84083865265,39949450.39237046,228,527,16893,3823793.000748641
2000,FLA KEYS,ALU SCRI,125223.9888871812,1925338277.6329477,228,527,16893,3823793.000748641
2000,FLA KEYS,ALU SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AMB PINO,6320.712091557287,39919918.2963058,228,527,16893,3823793.000748641
2000,FLA KEYS,ANT OCEL,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO AURO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO BINO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO MACU,38587.16551866616,552727136.045865,228,527,16893,3823793.000748641
2000,FLA KEYS,APO PHEN,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO PSEU,990.2974236829043,1022954.0410368483,228,527,16893,3823793.000748641
2000,FLA KEYS,APO QUAD,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO TOWN,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ARC PROB,9060.183972254717,70936870.86455001,228,527,16893,3823793.000748641
2000,FLA KEYS,ARC RHOM,44050.692942384005,1335585726.137828,228,527,16893,3823793.000748641
2000,FLA KEYS,AST GUTT,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AST PUNC,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AST SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AST STEL,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AUL MACU,387875.3140416406,6148326676.695358,228,527,16893,3823793.000748641
2000,FLA KEYS,BAL CAPR,270636.4468938018,14401219662.555916,228,527,16893,3823793.000748641
2000,FLA KEYS,BAL SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,BAL VETU,103091.95050584145,1004311373.3162029,228,527,16893,3823793.000748641
2000,FLA KEYS,BOT LUNA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,BOT OCEL,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,BRO BARB,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CAL BAJO,13804.85035389284,79827946.87117955,228,527,16893,3823793.000748641
2000,FLA KEYS,CAL CALA,2077620.6132222724,58035115283.72336,228,527,16893,3823793.000748641
2000,FLA KEYS,CAL NODO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CAL PENN,6320.712091557287,40246114.38540228,228,527,16893,3823793.000748641
2000,FLA KEYS,CAL PROR,6320.712091557287,39919918.2963058,228,527,16893,3823793.000748641
2000,FLA KEYS,CAL SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CAN MACR,14207.037252937069,162113926.37644285,228,527,16893,3823793.000748641
2000,FLA KEYS,CAN PULL,55274.66595996162,368302107.6138683,228,527,16893,3823793.000748641
2000,FLA KEYS,CAN ROST,2442364.7967227376,47278946495.07663,228,527,16893,3823793.000748641
2000,FLA KEYS,CAN SUFF,37074.953723634484,686276095.4507473,228,527,16893,3823793.000748641
2000,FLA KEYS,CAR HIPP,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CEN ARGI,31603.560457786436,997997957.4076451,228,527,16893,3823793.000748641
2000,FLA KEYS,CHA CAPI,2481088.5667853914,55942809508.42439,228,527,16893,3823793.000748641
2000,FLA KEYS,CHA FABE,265168.9127862296,18442733630.085075,228,527,16893,3823793.000748641
2000,FLA KEYS,CHA OCEL,2059212.59384212,28871318916.899445,228,527,16893,3823793.000748641
2000,FLA KEYS,CHA SEDE,1471548.7171858947,36207278618.221146,228,527,16893,3823793.000748641
2000,FLA KEYS,CHA STRI,654205.2741460024,10435117284.204304,228,527,16893,3823793.000748641
2000,FLA KEYS,CHI ANTE,6320.712091557287,40246114.38540228,228,527,16893,3823793.000748641
2000,FLA KEYS,CHI SCHO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CHR CYAN,2620096.001187514,378673507497.2822,228,527,16893,3823793.000748641
2000,FLA KEYS,CHR ENCH,990.2974236829043,973801.8288419803,228,527,16893,3823793.000748641
2000,FLA KEYS,CHR INSO,28583.83977850549,318011485.5871107,228,527,16893,3823793.000748641
2000,FLA KEYS,CHR MULT,3811175.563995992,1155150575113.0217,228,527,16893,3823793.000748641
2000,FLA KEYS,CHR SCOT,915111.0541784359,204041971134.0517,228,527,16893,3823793.000748641
2000,FLA KEYS,CLE PARR,6586067.787881921,7699586313758.277,228,527,16893,3823793.000748641
2000,FLA KEYS,DIO HOLO,24556.526744078292,147993807.9068338,228,527,16893,3823793.000748641
2000,FLA KEYS,DIO HYST,17624.13867176174,114860365.21605535,228,527,16893,3823793.000748641
2000,FLA KEYS,DIO SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,DIP ARGE,7922.3793894632345,28187640.383153338,228,527,16893,3823793.000748641
2000,FLA KEYS,DIP HOLB,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,DOR MEGA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ECH NEUC,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ELO SAUR,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EMM ATLA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ENC NIGR,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EQU LANC,10640.53361088202,74585297.7204846,228,527,16893,3823793.000748641
2000,FLA KEYS,EQU PUNC,2555.9104935054006,3408055.020061628,228,527,16893,3823793.000748641
2000,FLA KEYS,EUC ARGE,81889.00839166122,4107897951.619186,228,527,16893,3823793.000748641
2000,FLA KEYS,EUC GULA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,FIS TABA,6320.712091557287,39919918.2963058,228,527,16893,3823793.000748641
2000,FLA KEYS,GER CINE,222099.33922557053,22051646835.616302,228,527,16893,3823793.000748641
2000,FLA KEYS,GRA LORE,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,GYM FUNE,7738.432493631272,41006167.3324736,228,527,16893,3823793.000748641
2000,FLA KEYS,GYM MILI,6320.712091557287,39919918.2963058,228,527,16893,3823793.000748641
2000,FLA KEYS,GYM MORI,35336.02444903393,226183869.15509576,228,527,16893,3823793.000748641
2000,FLA KEYS,GYM NIGR,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,GYM SAXI,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,GYM VICI,662.8929693224339,448994.7599589212,228,527,16893,3823793.000748641
2000,FLA KEYS,HAL BIVI,20284260.40385016,4096649193151.0728,228,527,16893,3823793.000748641
2000,FLA KEYS,HAL CAUD,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HAL CYAN,2970.892271048713,4635060.457796605,228,527,16893,3823793.000748641
2000,FLA KEYS,HAL GARN,11123128.482471582,638976703645.216,228,527,16893,3823793.000748641
2000,FLA KEYS,HAL MACU,5677654.909123065,306662828976.06696,228,527,16893,3823793.000748641
2000,FLA KEYS,HAL PICT,161882.74055740752,5414719098.25303,228,527,16893,3823793.000748641
2000,FLA KEYS,HAL POEY,97019.92859976289,1140298419.941253,228,527,16893,3823793.000748641
2000,FLA KEYS,HAL RADI,1103263.308648541,18452203244.94488,228,527,16893,3823793.000748641
2000,FLA KEYS,HET CRUE,52167.364030364246,562573301.1449702,228,527,16893,3823793.000748641
2000,FLA KEYS,HET LONG,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HIP EREC,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HOL ADSC,371450.53490640497,12290469452.58184,228,527,16893,3823793.000748641
2000,FLA KEYS,HOL BERM,412096.1596341081,4282698495.246601,228,527,16893,3823793.000748641
2000,FLA KEYS,HOL CILI,700763.1830317271,10722186673.169628,228,527,16893,3823793.000748641
2000,FLA KEYS,HOL RUFU,159119.99710091163,9443164120.500025,228,527,16893,3823793.000748641
2000,FLA KEYS,HOL SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HOL TOWN,31603.560457786436,270628611.34618866,228,527,16893,3823793.000748641
2000,FLA KEYS,HOL TRIC,835748.4524178619,15029583712.662746,228,527,16893,3823793.000748641
