YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
2000,FLA KEYS,CRY ROSE,850567.0403439318,35162394047.873024,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,NIC USTA,0,0,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SCA COEL,414443.00555593584,26022723043.68624,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SCA COER,569712.862113182,14019269484.368773,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SCA GUAC,429228.87407761737,12199438324.025747,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SCA ISER,32844168.30637025,8058008664596.124,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SCA SPE.,0,0,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SCA TAEN,859877.5013987517,40062853634.91989,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SCA VETU,525767.2801712299,17458793971.137238,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SPA ATOM,4325730.132466293,318119103732.50336,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SPA AURO,14401954.553864641,1187085523117.4375,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SPA CHRY,4182817.833086452,1760765104729.9592,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SPA RADI,72780.44213355034,1073917067.3413663,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SPA RUBR,735528.4694455554,19409211821.382282,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SPA SPE.,0,0,152,344,16145,3654480.4355109693,0
2000,FLA KEYS,SPA VIRI,4782687.278310388,177204137240.07828,152,344,16145,3654480.4355109693,0
2001,FLA KEYS,CRY ROSE,623920.9707535678,29786676874.374626,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,NIC USTA,0,0,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SCA COEL,538762.5814922045,30803157567.80406,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SCA COER,564786.2495984281,30004210893.937023,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SCA GUAC,494743.0600729591,17906726915.056694,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SCA ISER,26273216.732943974,2889420138267.493,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SCA SPE.,1699.6040512863244,2851608.1395905586,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SCA TAEN,484866.5612676449,13295316070.878849,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SCA VETU,281383.7879662155,3720121355.1293755,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SPA ATOM,3614048.714401451,287047336345.4708,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SPA AURO,11622627.267870778,547471957593.2746,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SPA CHRY,2106489.895028113,135867124339.26134,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SPA RADI,378130.3032511367,20880557981.385006,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SPA RUBR,752035.6537401384,24630180203.56162,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SPA SPE.,3399.208102572649,11642961.052304892,207,499,16145,3654480.4355109693,0
2001,FLA KEYS,SPA VIRI,3603489.15600633,87357522223.69522,207,499,16145,3654480.4355109693,0
2002,FLA KEYS,CRY ROSE,446298.7933347193,12454281119.163954,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,NIC USTA,15069.862144931654,194551259.77129453,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SCA COEL,1341270.4128839425,840708779987.6704,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SCA COER,414758.95941382926,8747111005.51263,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SCA GUAC,648133.1497505587,23302781744.464783,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SCA ISER,18930373.05027185,1964378018333.0957,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SCA SPE.,293232.44305280794,60398667325.67214,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SCA TAEN,2341475.934832285,176118451884.03497,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SCA VETU,365969.2190687812,5673721346.410173,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SPA ATOM,2701048.0996511104,70605894325.26443,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SPA AURO,13541805.496141475,706335571077.295,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SPA CHRY,2008354.6390408978,178469083679.6862,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SPA RADI,158059.12378260196,2973770260.4591947,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SPA RUBR,890510.9296379266,62605230597.70374,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SPA SPE.,6503.315828493447,43130669.66662035,275,516,16145,3654480.4355109693,0
2002,FLA KEYS,SPA VIRI,4969496.058416971,161150058281.56924,275,516,16145,3654480.4355109693,0
2003,FLA KEYS,CRY ROSE,416919.1067836903,21711131187.2111,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,NIC USTA,0,0,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SCA COEL,528817.0475300553,58545713973.252045,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SCA COER,653266.0512183736,46885709277.27073,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SCA GUAC,278554.9142854035,6863241589.0102,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SCA ISER,29208170.259857267,4446059747977.455,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SCA SPE.,324868.99899000203,105534993469.78111,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SCA TAEN,1050312.3302807973,60624905021.35313,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SCA VETU,144065.13664233676,1360631702.2568464,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SPA ATOM,3606298.61017184,236935957388.27332,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SPA AURO,14085528.25725209,718192285190.9769,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SPA CHRY,1369357.2655298677,70382132336.6165,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SPA RADI,353686.66371035617,14949598167.24095,158,295,16145,3654480.4355109693,0
2003,FLA KEYS,SPA RUBR,730715.9655906891,21150958083.847843,158,295,16145,3654480.4355109693,0
