YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
2018,FLA KEYS,AET NARI,7059.138612260623,19277453.541076254,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,DAS AMER,34171.62714500012,142215429.39143947,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,ECH NAUC,2359.2286295829317,5568356.033978449,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,NAR BANC,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,RHI BONA,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,URO JAMA,227809.14503050165,1079299432.269126,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,AET NARI,3664.100467626746,13465049.65408494,113,216,2988,169086.21154082962,1
2018,FLA KEYS,DAS AMER,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,ECH NAUC,2267.5547465370096,1184343.354999066,113,216,2988,169086.21154082962,1
2018,FLA KEYS,NAR BANC,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,RHI BONA,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,URO JAMA,11144.216306691804,5031066.292694754,113,216,2988,169086.21154082962,1
2018,FLA KEYS,AET NARI,10723.23907988737,32742503.195161194,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,DAS AMER,34171.62714500012,142215429.3914395,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,ECH NAUC,4626.783376119942,6752699.3889775155,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,NAR BANC,0,0,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,RHI BONA,0,0,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,URO JAMA,238953.36133719346,1084330498.561821,434,843,67562,3823227.1165065365,all
