YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
2018,FLA KEYS,CAR FALC,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,CAR LEUC,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,CAR LIMB,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,CAR OBSC,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,CAR PERE,723.3161402284657,255012.87562646286,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,CAR PLUM,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,GAL CUVI,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,GIN CIRR,63551.24772254595,360474378.92255014,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,NEG BREV,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPH LEWI,4718.457259165863,22273424.135913797,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPH MOKA,361.6580701142328,130813.81003970673,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,SPH TIBU,0,0,321,627,64574,3654140.9049657066,0
2018,FLA KEYS,CAR FALC,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,CAR LEUC,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,CAR LIMB,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,CAR OBSC,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,CAR PERE,2130.7367148274107,1079943.814750835,113,216,2988,169086.21154082962,1
2018,FLA KEYS,CAR PLUM,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,GAL CUVI,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,GIN CIRR,4627.557264772555,4445494.402128953,113,216,2988,169086.21154082962,1
2018,FLA KEYS,NEG BREV,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,SPH LEWI,523.442923946678,274796.9317160192,113,216,2988,169086.21154082962,1
2018,FLA KEYS,SPH MOKA,0,0,113,216,2988,169086.21154082962,1
2018,FLA KEYS,SPH TIBU,694.2561303597081,303888.6765979131,113,216,2988,169086.21154082962,1
2018,FLA KEYS,CAR FALC,0,0,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,CAR LEUC,0,0,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,CAR LIMB,0,0,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,CAR OBSC,0,0,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,CAR PERE,2854.052855055876,1334956.6903772976,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,CAR PLUM,0,0,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,GAL CUVI,0,0,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,GIN CIRR,68178.80498731852,364919873.3246791,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,NEG BREV,0,0,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,SPH LEWI,5241.900183112543,22548221.06762982,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,SPH MOKA,361.6580701142328,130813.81003970673,434,843,67562,3823227.1165065365,all
2018,FLA KEYS,SPH TIBU,694.2561303597081,303888.67659791297,434,843,67562,3823227.1165065365,all
