YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM
2000,FLA KEYS,CEP CRUE,0.2947610901051652,9.52299806550929e-4,228,527,16893,3823793.000748641
2000,FLA KEYS,CEP FULV,0.01720215987013892,5.7121867555838655e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,DER INER,5.179660214289942e-4,2.5295801082041096e-7,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI FLAV,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI ITAJ,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI MORI,0.20637865229522143,7.539356297883484e-4,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI NIVE,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI STRI,0.0042043660946239755,7.593015383901748e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC ACUT,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC BONA,0.1468251040017825,5.6685257795365e-4,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC INTE,0.006870964454605196,4.339685781993459e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC MICR,0.014812057038622262,3.335308489181368e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC PHEN,0.019183266433960632,5.285730410714404e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC TIGR,0.004845152122155808,7.850135955908489e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC VENE,0.012083625801489195,2.3903744510056786e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,SRR SPE.,0,0,228,527,16893,3823793.000748641
2001,FLA KEYS,CEP CRUE,0.2632809488878895,6.83109349854426e-4,305,742,16893,3823793.000748641
2001,FLA KEYS,CEP FULV,0.01127348856440882,1.6517305417265088e-5,305,742,16893,3823793.000748641
2001,FLA KEYS,DER INER,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI FLAV,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI ITAJ,4.700767064883639e-4,1.8222339935589595e-7,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI MORI,0.22417069734374712,6.513367903130356e-4,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI NIVE,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI STRI,0.02795010927183638,6.619746810916889e-5,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC ACUT,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC BONA,0.23375053674747207,0.0014671610562516186,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC INTE,0.011614013272704993,3.5234210251047416e-5,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC MICR,0.003992915012827106,7.67348283992111e-6,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC PHEN,0.02827050108805891,6.711905348453252e-5,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC TIGR,2.5818151590377533e-4,4.738279824658165e-8,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC VENE,0.03851370766859494,1.0277653010584874e-4,305,742,16893,3823793.000748641
2001,FLA KEYS,SRR SPE.,0,0,305,742,16893,3823793.000748641
2002,FLA KEYS,CEP CRUE,0.37581046341173163,0.001034130918429543,356,669,16893,3823793.000748641
2002,FLA KEYS,CEP FULV,0.05229947298009564,2.2548829144235474e-4,356,669,16893,3823793.000748641
2002,FLA KEYS,DER INER,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI FLAV,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI ITAJ,1.61144984444576e-4,2.6501879141043214e-8,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI MORI,0.18033551265721318,4.12831389924557e-4,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI NIVE,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI STRI,0.0205567726263199,8.07123992048531e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC ACUT,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC BONA,0.19662316408512803,7.177245984969159e-4,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC INTE,0.010803691266063968,2.7740259780874372e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC MICR,0.010723162782743675,2.661722980876288e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC PHEN,0.016395390539008993,3.5335237722161834e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC TIGR,0.009641948628517744,2.6254196571927877e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC VENE,0.01375847127747017,6.962750752000583e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,SRR SPE.,0,0,356,669,16893,3823793.000748641
2003,FLA KEYS,CEP CRUE,0.23213704505102437,8.311394004576792e-4,237,434,16893,3823793.000748641
2003,FLA KEYS,CEP FULV,0.030694235304267244,7.357763933830298e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,DER INER,0.0063368304577681245,4.031555591504324e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI FLAV,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI ITAJ,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI MORI,0.19724844275056766,7.322168075268128e-4,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI NIVE,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI STRI,0.007711435214571654,1.2764081657241441e-5,237,434,16893,3823793.000748641
