YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM
2000,FLA KEYS,ANI SURI,0.015895647213686245,4.4059399854675804e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,ANI VIRG,1.159248295963749,0.04138192751035624,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE ALBU,0.004861276195218303,1.2445386778617803e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE AURO,8.89292445536007,7.90600699378188,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE CARB,0.11427159489360172,0.001534730147150647,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE CHRY,0.1972163213995042,0.005505934154786477,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE FLAV,3.7047988994862666,0.6458339188764415,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE MACR,0.021701025876924695,7.031258215453206e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE MELA,0.10165299937048092,0.005015185655875661,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE PARR,0.22391592125355342,0.025279254039957084,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE PLUM,7.263411204942891,0.8889428312032037,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE SCIU,3.4383273106407253,0.3463405671063376,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE SPE.,4.538979868653743,2.6964613248791216,228,527,16893,3823793.000748641
2000,FLA KEYS,HAE STRI,0.005834192383971776,8.440256401417137e-6,228,527,16893,3823793.000748641
2001,FLA KEYS,ANI SURI,0.060657594115487254,3.852609587337613e-4,305,742,16893,3823793.000748641
2001,FLA KEYS,ANI VIRG,1.2060731133610407,0.030983367929725364,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE ALBU,0.062441032846530374,0.00141148300735537,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE AURO,18.756881302271275,30.296605769743877,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE CARB,0.17121570532328576,0.0034517252757305743,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE CHRY,1.677179765402752,1.1924849316046915,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE FLAV,3.98004558631456,0.5301513219550213,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE MACR,0.028846514331213508,1.2894495994998723e-4,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE MELA,0.9577373885030542,0.29233277042152184,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE PARR,0.1729658783740153,0.008713343888857368,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE PLUM,11.695717671083925,2.7816737282192365,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE SCIU,4.591100714543883,0.751244994998176,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE SPE.,10.466637342019345,13.860211142631949,305,742,16893,3823793.000748641
2001,FLA KEYS,HAE STRI,0.2632210129292772,0.01314311727529281,305,742,16893,3823793.000748641
2002,FLA KEYS,ANI SURI,0.05486319134953695,3.2356477565134294e-4,356,669,16893,3823793.000748641
2002,FLA KEYS,ANI VIRG,1.031642883751301,0.013603826292817905,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE ALBU,0.014421169754346931,4.1217761876466966e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE AURO,5.503885375770337,3.1112456468419443,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE CARB,0.27095089505034453,0.024949859711442438,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE CHRY,0.5922995853140174,0.06660741699576103,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE FLAV,2.8485168182526905,0.21095852500210258,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE MACR,0.1569326226139913,0.0031232464784247543,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE MELA,0.23120291555617248,0.013762292961322978,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE PARR,0.15211596392780907,0.005941641442800893,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE PLUM,7.790109414342878,2.191018540568659,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE SCIU,2.895889948426975,0.20385259987638785,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE SPE.,2.958303258385519,0.3943384327499132,356,669,16893,3823793.000748641
2002,FLA KEYS,HAE STRI,0.1351326530586431,0.0032553111890354807,356,669,16893,3823793.000748641
2003,FLA KEYS,ANI SURI,0.0674078272091083,0.00200979515958711,237,434,16893,3823793.000748641
2003,FLA KEYS,ANI VIRG,0.7792602232762835,0.015621643438816859,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE ALBU,0.08529076555777414,0.004450805379762434,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE AURO,13.622882391266652,19.491659154037652,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE CARB,0.13328805842385827,0.003195187395763571,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE CHRY,0.6863116042589182,0.0758738485031358,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE FLAV,3.142998925493205,0.32557595835710346,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE MACR,0.165714544415635,0.01662667258171189,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE MELA,1.5145709543618442,0.4836566594961224,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE PARR,0.11223416514694146,0.003738941655365576,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE PLUM,7.513178188824781,1.1746293217486266,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE SCIU,2.4597051249083552,0.16155128656119053,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE SPE.,13.551150253127899,14.50180083532599,237,434,16893,3823793.000748641
2003,FLA KEYS,HAE STRI,0.07386551149643175,0.0016083655046329976,237,434,16893,3823793.000748641
2004,FLA KEYS,ANI SURI,0.05266890439297388,2.557385483028965e-4,127,244,16771,3796177.8497339403
2004,FLA KEYS,ANI VIRG,3.273911973088172,2.7882840816888184,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE ALBU,0.005467262270671967,1.4360991119326118e-5,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE AURO,36.50005759420418,689.0751450716222,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE CARB,0.0638469382576061,4.5243831970225186e-4,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE CHRY,0.6349045657489462,0.07705033723854217,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE FLAV,6.040661126333298,3.3933506989690443,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE MACR,0.09981603484356104,0.0017201635439408611,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE MELA,1.5749959308250072,0.6000138537108883,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE PARR,0.10966138392663824,0.0036561339586419633,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE PLUM,8.487066784580549,1.9162709427909683,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE SCIU,2.1592790430836124,0.19703744165941287,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE SPE.,9.76396160459079,21.750402440045818,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAE STRI,0.030856838641058353,3.240378645106309e-4,127,244,16771,3796177.8497339403
2005,FLA KEYS,ANI SURI,0.0445853355742388,3.428412834038806e-4,256,498,16893,3823793.000748641
2005,FLA KEYS,ANI VIRG,0.8500069971232201,0.020997286677601673,256,498,16893,3823793.000748641
