YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM
2000,FLA KEYS,ABU SAXA,1.4256220925245253,0.08513312709067308,228,527,16893,3823793.000748641
2000,FLA KEYS,ACA POLY,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ACA QUAD,0.030488001409313115,9.209824534111381e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,ACA SOLA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AHL EGMO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ALB VULP,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ALU MONO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ALU SCHO,0.0016982720658208366,2.732260232061353e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,ALU SCRI,0.03274863175456,1.316795389567276e-4,228,527,16893,3823793.000748641
2000,FLA KEYS,ALU SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AMB PINO,0.0016529953609726747,2.7302404452844538e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,ANT OCEL,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO AURO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO BINO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO MACU,0.010091332221987794,3.780263203039456e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,APO PHEN,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO PSEU,2.589830107144971e-4,6.996283098015341e-8,228,527,16893,3823793.000748641
2000,FLA KEYS,APO QUAD,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,APO TOWN,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,ARC PROB,0.0023694232325026147,4.851580919048062e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,ARC RHOM,0.01152015627774818,9.13446300310577e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,AST GUTT,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AST PUNC,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AST SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AST STEL,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,AUL MACU,0.10143731995055708,4.2050211723726e-4,228,527,16893,3823793.000748641
2000,FLA KEYS,BAL CAPR,0.07077696068820025,9.849417048474888e-4,228,527,16893,3823793.000748641
2000,FLA KEYS,BAL SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,BAL VETU,0.026960651501181578,6.868780418673396e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,BOT LUNA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,BOT OCEL,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,BRO BARB,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CAL BAJO,0.0036102504375080083,5.459667717603572e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,CAL CALA,0.5433402416960086,0.003969191966232818,228,527,16893,3823793.000748641
