YEAR,protected_status,richness,simpson,shannon
1999,0,1,1,1
2000,0,2,1.01328903246308,1.0405188138052
2001,0,4,1.00918899903882,1.03303858534064
2002,0,6,1.92218148751712,2.45946586961887
2003,0,6,2.95857351598671,3.26203561626574
2004,0,8,2.07872938763767,2.45912148724792
2005,0,3,1.5429845174536,1.89366116759728
2006,0,1,1,1
2007,0,3,1.11555071557267,1.2788042338171
2008,0,4,1.94785695760594,2.32309723174168
2009,0,8,3.29566628802198,4.11847245743973
2010,0,4,1.24991438581965,1.55269781651356
2011,0,6,1.43188803935287,1.86456005392882
2012,0,4,2.12010833821685,2.55981404935627
2014,0,5,2.11645925600958,2.63546533352298
2016,0,4,3.58961733248054,3.74464219910719
2018,0,2,1.02000709820498,1.05713943763509
1999,1,0,Inf,1
2000,1,3,1.11511498648157,1.24313805037133
2001,1,4,1.99964310154987,2.00046815807469
2002,1,3,1.98873520306309,2.18036859443211
2003,1,3,1.61092084948587,1.8981323520406
2004,1,3,1.0654681266857,1.16259912102775
2005,1,1,1,1
2006,1,4,1.15037096275885,1.33305534168746
2007,1,3,1.23046041527998,1.45840696553912
2008,1,0,Inf,1
2009,1,3,1.29243968698281,1.57611239202678
2010,1,2,1.22932910044991,1.39658356150338
2011,1,5,1.47947351563089,1.96764567360239
2012,1,4,1.96767481495507,2.13387197974498
2014,1,4,2.11268186912042,2.28119269345747
2016,1,4,1.17018042809554,1.36954585358685
2018,1,1,1,1
1999,all,1,1,1
2000,all,4,2.01045615611265,2.04529508381539
2001,all,5,1.6742709788057,1.817441218843
2002,all,6,3.10241797294597,3.64625808842936
2003,all,6,2.96708286904826,3.28212725596374
2004,all,8,2.07943127434758,2.46185361789204
2005,all,3,1.55020116793619,1.90452817458419
2006,all,5,2.03366338326801,2.22160424982802
2007,all,5,1.11661430247694,1.28652373235803
2008,all,4,1.94785695760594,2.32309723174168
2009,all,8,3.35033198368547,4.14712352013977
2010,all,4,1.2499322142494,1.55810210379867
2011,all,8,1.67467999706695,2.17828969670932
2012,all,6,2.30047798696962,3.00201429162903
2014,all,6,3.79609506235071,4.18710927423294
2016,all,5,1.26147178630291,1.61271403924857
2018,all,3,1.32700896559594,1.55514582720462
