YEAR,protected_status,richness,simpson,shannon
1999,0,10,3.29041109057085,4.24762108026222
2000,0,10,3.40681155382776,4.36720864559282
2001,0,9,4.00163336461148,4.85838001535667
2002,0,10,3.58683441926963,4.78344656173205
2003,0,10,3.20482245363028,3.93519790563279
2004,0,7,3.44867577207434,3.98861473324357
2005,0,7,4.52038210605543,5.38133211162011
2006,0,8,3.11122152763016,4.14375736802656
2007,0,10,2.8816229961914,4.00472138782602
2008,0,10,2.26505519332761,3.33037380757684
2009,0,10,2.97568043615707,4.15856784848752
2010,0,10,2.7900274658705,3.91203059161496
2011,0,10,2.86761800133909,3.92730786841032
2012,0,9,2.77648871853885,3.75439803460033
2014,0,9,1.4885860865776,2.10531114158805
2016,0,8,1.53294480763187,2.12988945086632
2018,0,8,2.33017729868503,2.83008703695989
1999,1,7,2.58405749928034,3.03143536171044
2000,1,11,3.46342986203486,4.45999820950368
2001,1,11,3.85302913384428,4.93400523206285
2002,1,11,3.78422602146288,4.73598458796334
2003,1,10,3.50624325500451,4.66328937578208
2004,1,10,4.59017140618596,5.32301697408278
2005,1,9,4.11200004749071,4.92559282491699
2006,1,9,3.64610639075027,5.06834942576674
2007,1,7,3.43312976979957,4.0226338309883
2008,1,9,3.27907839528866,4.14670605813184
2009,1,9,3.25094519611881,4.07523567732886
2010,1,8,2.99976788269264,3.7452837880995
2011,1,9,3.4932082152722,4.44403468362485
2012,1,8,2.7305431836966,3.36999806042059
2014,1,9,2.03855128667283,2.86510223276261
2016,1,8,1.91161085554534,2.68734917486873
2018,1,6,2.36203180346154,2.85599735155705
1999,all,11,3.29921983168091,4.23894940918362
2000,all,11,3.4802384601994,4.43904196469658
2001,all,11,4.00769357239023,4.89152884318939
2002,all,11,3.63735627353795,4.81603663383297
2003,all,11,3.75067871872275,4.62143455981786
2004,all,10,3.59989164037019,4.28103619750726
2005,all,9,4.50908058503521,5.37849005832239
2006,all,9,3.15576574988594,4.24520949954993
2007,all,10,2.91678733645998,4.02630561482741
2008,all,11,2.2990800367093,3.37324234010869
2009,all,10,2.98713623478921,4.16334591402893
2010,all,10,2.80157057786033,3.91726728948703
2011,all,11,2.89851376364473,3.96239934099743
2012,all,9,2.77882813524807,3.74670079902613
2014,all,10,1.51185922539167,2.15211034659447
2016,all,9,1.55278217997648,2.16740746974751
2018,all,8,2.33709122130673,2.84079516187138
