YEAR,protected_status,richness,simpson,shannon
1999,0,14,3.93793558112593,5.2600110900839
2000,0,14,4.74054090814778,5.61742581628988
2001,0,14,4.56956401436329,5.82988299824839
2002,0,14,5.02584827513425,6.42670953247376
2003,0,14,4.21694239794671,5.43942770400918
2004,0,14,2.98086818073713,4.40459723668646
2005,0,14,5.13192899184397,6.12156267671768
2006,0,14,4.68939360739196,5.7561717799275
2007,0,14,5.12975497142399,6.40963717990836
2008,0,14,4.14934334541093,5.48080404923787
2009,0,14,3.82656586840324,4.9639777973156
2010,0,14,4.20416993581828,5.4700540035326
2011,0,14,4.64871385869687,5.83246598552214
2012,0,14,4.63512543600739,5.9309072886459
2014,0,14,4.97527405679304,6.23831561454557
2016,0,14,4.07938568206532,5.1002722423283
2018,0,14,4.80602309250295,5.92232814187777
1999,1,13,4.64695374486862,5.48639710841792
2000,1,14,5.17245525911347,6.25460538295984
2001,1,14,4.00635139841802,5.30356746268474
2002,1,14,6.61511870910985,7.97907487812458
2003,1,14,5.6175049129252,6.59672139503296
2004,1,14,4.69720023759776,6.10745772773897
2005,1,14,4.77739287068205,6.2476346747839
2006,1,14,3.37181785129158,5.09715345141207
2007,1,14,5.10964891596138,6.55261856936947
2008,1,14,5.07406460751077,6.32756794965684
2009,1,14,4.83318449686497,5.97322324199913
2010,1,13,4.67117902566162,6.18695763119866
2011,1,14,5.45381443642088,6.89380750737399
2012,1,14,4.48220718774491,5.74171173987423
2014,1,14,5.28996461536674,6.58575261351649
2016,1,14,5.84645090911608,6.7703039959076
2018,1,14,5.24455609321877,6.37269520432094
1999,all,14,3.98957539584979,5.29164418417004
2000,all,14,4.90995409945937,5.76750515503926
2001,all,14,4.56870505359044,5.83253439508294
2002,all,14,5.15052255561466,6.55723880225212
2003,all,14,4.33196704922643,5.57148371670831
2004,all,14,3.04492911902187,4.50112318982109
2005,all,14,5.21837522132582,6.23535233189877
2006,all,14,4.65997216265462,5.76773604671931
2007,all,14,5.14623919827357,6.4360161808202
2008,all,14,4.21085449854793,5.54809905581546
2009,all,14,3.86862024094909,5.01364051900199
2010,all,14,4.27158303293268,5.54776098355829
2011,all,14,4.69170095929752,5.90262379939538
2012,all,14,4.64247039550742,5.93576508854355
2014,all,14,5.02186715989893,6.30105508407239
2016,all,14,4.16587932083972,5.20998045000258
2018,all,14,4.84194649483306,5.96142154120138
