YEAR,protected_status,richness,simpson,shannon
1999,0,89,5.70993161490513,10.7125625071004
2000,0,88,5.39760186246361,10.5198562903046
2001,0,94,5.12810978080324,10.4273369406682
2002,0,97,5.70685113127833,11.8279906438285
2003,0,93,5.133402850554,10.4921616290974
2004,0,85,4.9970933061653,10.393211503242
2005,0,90,5.95504348950025,11.9390667286
2006,0,105,6.11453297174529,12.3834473211221
2007,0,108,5.65405670326113,11.4155877602607
2008,0,104,5.27137478114535,10.596789252943
2009,0,119,5.99299853933892,10.9138314318376
2010,0,107,6.83343425130792,12.1190627607476
2011,0,112,7.42063758204316,13.9168463873025
2012,0,110,6.99135381169292,13.118049589335
2014,0,109,6.55394004361481,12.5259404515391
2016,0,113,6.5800771564121,12.7267336241764
2018,0,105,5.4032256848795,10.4571317675833
1999,1,69,5.85427528267968,10.5695228156604
2000,1,73,6.92700114234525,12.0377652330736
2001,1,83,6.23617978277385,11.5041127942622
2002,1,77,6.83119974744328,12.6353882293609
2003,1,82,7.00112239279808,12.5598364079928
2004,1,65,6.74998503839823,11.5927695980532
2005,1,76,7.04339698652913,13.390538272349
2006,1,84,6.16356987142911,11.5109290572374
2007,1,86,6.30137883656294,11.7727084952276
2008,1,76,5.4543202640336,9.79977865241679
2009,1,84,5.92906567386941,10.2596513224266
2010,1,76,5.82957595981983,9.82220125617799
2011,1,83,6.92882683205836,12.1480112274869
2012,1,90,6.61514785150243,11.712763042223
2014,1,90,6.29174808785813,11.0539489985851
2016,1,88,6.6845021138871,12.3165549192087
2018,1,85,5.58432974405773,10.254054495186
1999,all,93,5.73268021924567,10.7680062510148
2000,all,95,5.50485621023768,10.7399054597097
2001,all,99,5.2027163869322,10.5963756614876
2002,all,100,5.76787505930102,11.9817508101511
2003,all,98,5.24826204646111,10.7403694447392
2004,all,89,5.10553273849002,10.6025908765599
2005,all,96,6.00924760033056,12.1223898507678
2006,all,108,6.12217060510703,12.3960834531477
2007,all,112,5.69176923732866,11.498615777011
2008,all,105,5.28919680661677,10.6276396482093
2009,all,121,5.99586804466916,10.9282058611659
2010,all,111,6.79272249435692,12.0584484244508
2011,all,116,7.40195546512587,13.8580427217662
2012,all,116,6.97831108477131,13.0918629592289
2014,all,115,6.5447498961527,12.4977490021683
2016,all,114,6.59998671166621,12.7900769732064
2018,all,111,5.41650560843153,10.4910329386068
