YEAR,protected_status,richness,simpson,shannon
1999,0,3,1.55097094754156,1.78797723687161
2000,0,3,1.47522734761912,1.67266672540779
2001,0,3,1.37707634829138,1.65803276119188
2002,0,3,1.62086399647943,1.84309828475869
2003,0,3,1.37617741903481,1.60212270805893
2004,0,3,1.422178802931,1.68377695467704
2005,0,3,1.46608901240891,1.74023369949879
2006,0,3,1.58812986817506,1.83299783966923
2007,0,3,1.59831666812128,1.81359316113503
2008,0,3,1.45909873821529,1.71621296115477
2009,0,3,1.53623125459068,1.79840978444582
2010,0,3,1.50098570595417,1.78286711203215
2011,0,3,1.60396644845527,1.88025124766279
2012,0,3,1.44206698596584,1.68358275799614
2014,0,3,1.35841849159076,1.59780033853855
2016,0,3,1.35177969889461,1.60371563702814
2018,0,3,1.26313910187042,1.47831157626798
1999,1,2,1.97175891273155,1.98569423206132
2000,1,3,1.91578783547834,2.10291466187349
2001,1,3,2.03440654120157,2.12198840623319
2002,1,3,1.7836156349854,1.95236130698308
2003,1,3,1.64565608785603,1.84830226796484
2004,1,3,1.87058953690794,1.94887424375747
2005,1,3,1.85307411523065,2.01467031191874
2006,1,3,1.86802212360889,2.0657425415476
2007,1,3,2.05732322205653,2.14855925869007
2008,1,3,1.53627694676408,1.76700909869904
2009,1,3,1.7586477758155,1.93701090743999
2010,1,3,1.93336807014073,2.06325167595312
2011,1,3,1.83065152963738,1.97004380766928
2012,1,3,1.792129141205,1.97719658838017
2014,1,3,1.56622879821759,1.75803852512983
2016,1,3,1.87190965399399,1.99717489528572
2018,1,3,1.48555791845798,1.70114004667223
1999,all,3,1.5679098230577,1.80069448806469
2000,all,3,1.49294250642564,1.69404163005648
2001,all,3,1.39826049546437,1.68101695015006
2002,all,3,1.62671138844118,1.84743922916633
2003,all,3,1.38873537634002,1.61547047932968
2004,all,3,1.44004183934003,1.70011808874941
2005,all,3,1.47678823728685,1.75014677618718
2006,all,3,1.59964460637722,1.8436752425318
2007,all,3,1.62110848614454,1.83300860796351
2008,all,3,1.46206990936803,1.71842207483676
2009,all,3,1.54415358159444,1.8045091447159
2010,all,3,1.51914968106836,1.7988892129793
2011,all,3,1.61225649594188,1.88545174784111
2012,all,3,1.45275290673613,1.69429420142967
2014,all,3,1.36795207372687,1.6069516704629
2016,all,3,1.3729496908163,1.62638362711994
2018,all,3,1.27273107509113,1.48980703762029
