YEAR,protected_status,richness,simpson,shannon
1999,0,8,2.10011934433446,3.0267655457522
2000,0,9,1.30614087586874,1.78116458841841
2001,0,12,2.37088594644714,3.36803797481192
2002,0,12,1.95561410280873,3.05426730063856
2003,0,12,1.37042179475469,1.78306907736606
2004,0,8,3.09935881915815,3.92776957739997
2005,0,13,1.87716690415318,2.86652521066062
2006,0,12,2.60967635287269,3.42822699311217
2007,0,10,1.51712647905531,2.27125535593314
2008,0,11,4.06417794183923,5.05443609537969
2009,0,17,2.65864305927316,3.70363408298416
2010,0,14,2.27341500752626,3.30540186164267
2011,0,15,3.12709949752154,4.15046097751623
2012,0,14,1.79653586414089,2.95855329009403
2014,0,13,3.223339321471,3.88592881229925
2016,0,13,1.61343813803316,2.42265629712876
2018,0,18,2.6542398758463,3.91208830718186
1999,1,8,1.52038433146532,1.88316655811667
2000,1,7,1.28121816766198,1.63739714349852
2001,1,10,1.46886126062047,2.14345915793264
2002,1,11,3.70113199256433,4.60345903693285
2003,1,9,2.15657703736519,2.80377039321479
2004,1,8,2.39065573785113,2.80307345517096
2005,1,8,1.49378019978727,2.08946246122345
2006,1,7,1.64852141895874,2.16319873021068
2007,1,10,1.68209978247333,2.48208644621919
2008,1,11,1.37515114684174,1.97933261740318
2009,1,13,2.5039756002552,4.13211215640129
2010,1,9,1.20804354696817,1.57558898674535
2011,1,10,1.37945965331474,1.9827888453769
2012,1,9,1.46045026891908,2.06268477241927
2014,1,11,1.66686105942531,2.38581485482952
2016,1,10,2.17257487764917,2.60628807717714
2018,1,9,1.76141666822677,2.4848531021662
1999,all,11,2.46270549444393,3.29699003133302
2000,all,11,1.30530790659258,1.78251710458921
2001,all,14,2.30570152495106,3.33429968207069
2002,all,13,2.08888137616512,3.48663382747471
2003,all,14,1.41986378569086,1.85613284685008
2004,all,11,3.176953795032,4.02441755133591
2005,all,14,1.85790654534258,2.85438610762571
2006,all,12,2.5359343072196,3.3497608318961
2007,all,13,1.52616274689619,2.28921546837811
2008,all,15,3.87616644353258,4.95384645679896
2009,all,17,2.70397732085957,3.77909751352785
2010,all,15,2.22927529877827,3.26201090513442
2011,all,15,3.07296945080768,4.12613487146623
2012,all,15,1.77599926760644,2.93209233900507
2014,all,14,3.18104723425282,3.95237805348694
2016,all,14,1.8520643327787,2.80156725589593
2018,all,18,2.64218458269011,3.91513551844381
