YEAR,protected_status,richness,simpson,shannon
1999,0,13,3.20529662250229,4.78759112013649
2000,0,13,3.13334240597199,4.69217111202423
2001,0,15,3.07203370997574,4.714902210087
2002,0,16,4.10324898266518,5.99476723562529
2003,0,14,3.06623089992793,4.59443870997011
2004,0,14,2.80119625027959,4.41902495857472
2005,0,15,3.23637763531866,4.60898851210093
2006,0,15,3.88844032772367,5.41721331323011
2007,0,14,3.66972546852025,5.31055706856485
2008,0,16,3.65386390861621,5.47522830473639
2009,0,14,3.24883788624016,4.91237599209358
2010,0,16,2.80417279329068,4.19543352423607
2011,0,15,3.12942737592836,4.64833225821729
2012,0,15,3.25816938181785,4.81163328605201
2014,0,16,3.44292752170691,4.89167013333742
2016,0,16,3.55449464007532,5.16308556270319
2018,0,16,3.50051060639795,5.35787116058285
1999,1,14,3.30295948985483,5.33719825059145
2000,1,13,3.01969942308843,4.70400398892911
2001,1,13,3.01046200106217,4.55698601562145
2002,1,14,4.93011328000293,7.26530269222613
2003,1,14,3.76462301141124,5.95039611258353
2004,1,14,3.26183667264358,4.80967593410135
2005,1,14,3.7525595069516,5.46207839276181
2006,1,15,3.48913155575057,5.33605935666354
2007,1,14,4.30171438607766,6.44656663556646
2008,1,15,3.86656678909272,5.70055428943782
2009,1,16,3.58683802406114,5.61790004368506
2010,1,15,2.92436525176034,4.5930700772373
2011,1,14,3.31602679747952,5.0546996924111
2012,1,15,3.72327833926159,5.48903405485724
2014,1,16,4.3254180882517,6.22789572364927
2016,1,15,3.52263840704385,5.14159355382179
2018,1,16,3.98477114625782,6.24101886278299
1999,all,14,3.21292629523868,4.82847595164757
2000,all,13,3.13014700630112,4.70198226507106
2001,all,15,3.06953438613376,4.71464869197568
2002,all,16,4.14045603984177,6.07120776896732
2003,all,14,3.09670951306065,4.66837822630488
2004,all,14,2.82705795083451,4.45285661040665
2005,all,16,3.25324561166268,4.6448567447847
2006,all,15,3.87471996969438,5.43628067968108
2007,all,14,3.69718204777647,5.37561002343434
2008,all,16,3.66351411257335,5.48993118322505
2009,all,16,3.26339518002487,4.94653425188761
2010,all,16,2.81109043625893,4.22637437372781
2011,all,15,3.13831952480553,4.66918650766162
2012,all,15,3.27656145892848,4.84306089439969
2014,all,16,3.47857765434393,4.95649289100845
2016,all,16,3.55680535400208,5.17257603825443
2018,all,16,3.52213370511867,5.40696448452386
