YEAR,protected_status,richness,simpson,shannon
1999,0,12,4.75172739386099,6.19031371118051
2000,0,14,4.54085991027038,6.31734119250538
2001,0,14,4.17055247723812,5.79174405356695
2002,0,13,4.2633263859584,5.68426836817469
2003,0,15,4.1896223886939,5.85147407858021
2004,0,14,5.57842584384865,6.88206832801011
2005,0,15,4.29064808011964,6.0510200043061
2006,0,16,5.15584903586746,7.35786158864219
2007,0,16,5.13490804509856,6.95046777555376
2008,0,17,3.65003605057343,5.43934194068567
2009,0,19,3.63266509516513,5.56914731620397
2010,0,18,3.35102341106496,5.10373390610951
2011,0,19,3.4760890368696,5.30480136775597
2012,0,17,3.51368913655094,5.25843766668987
2014,0,16,3.59288297452741,5.20327752537145
2016,0,15,3.55732974070102,5.22528628522666
2018,0,19,4.89948419943158,6.59351393456887
1999,1,11,3.84556054193051,5.27647671771137
2000,1,10,3.93835459160471,5.32433170039749
2001,1,16,3.3222516972728,4.74446397010966
2002,1,13,5.14688429686386,7.15974061870345
2003,1,15,4.91554107086286,6.7365583991117
2004,1,13,4.30395629863486,5.81138191522649
2005,1,12,4.75831208438277,6.39995176696122
2006,1,14,3.82366573045386,6.27461642117158
2007,1,13,4.07273871832954,6.20896134560327
2008,1,14,3.10213476692903,4.4707561874426
2009,1,17,3.21382700069747,4.53920337590278
2010,1,12,3.24618025550299,4.60767709262218
2011,1,11,3.08565886685099,4.2293240642816
2012,1,13,3.74782398030308,5.45720406980816
2014,1,13,3.83527039028759,5.44504328632577
2016,1,16,2.99496468165137,4.3227458491386
2018,1,14,3.52134517884325,5.14310904100226
1999,all,13,4.71392691071403,6.18412442080485
2000,all,14,4.53138579670916,6.29475580110317
2001,all,18,4.12695255029663,5.77420670833844
2002,all,15,4.29530419903087,5.78283946868001
2003,all,18,4.22546514280857,5.98180032681134
2004,all,15,5.60657314948668,6.96803705254527
2005,all,16,4.31052584352996,6.08310185374658
2006,all,16,5.10764821065764,7.34199163669752
2007,all,18,5.11929930100552,6.98266073658888
2008,all,18,3.62752703855773,5.42415052524904
2009,all,21,3.62089597852024,5.5467677589628
2010,all,18,3.34887669070949,5.09033196192975
2011,all,19,3.46692270225776,5.28411573549357
2012,all,17,3.52727980248789,5.27641867114382
2014,all,17,3.61130994972368,5.23555612348708
2016,all,18,3.53276560158328,5.20649991375683
2018,all,20,4.8660644765526,6.58330627320819
