YEAR,protected_status,richness,simpson,shannon
1999,0,17,5.7581537377941,6.98669989928801
2000,0,26,5.83651051752884,7.14701909831184
2001,0,22,1.85560321418565,2.96394769746538
2002,0,26,4.16321842868415,5.2427702644593
2003,0,22,4.20984377617654,5.37091553849661
2004,0,24,3.97518420829791,5.48276361175971
2005,0,30,2.49915728932775,3.98659606212176
2006,0,32,1.83472729744517,3.02318241256362
2007,0,34,2.57175526737882,4.35308389415084
2008,0,29,3.95197473187156,5.81926183742394
2009,0,30,2.32020953572739,3.87633861224277
2010,0,31,1.73019545831187,2.91308100892901
2011,0,35,1.94409225048299,3.30138234947798
2012,0,34,1.73496176777094,2.81214371783297
2014,0,32,2.12895300827083,3.42971767537301
2016,0,30,1.99467406947798,3.21531018988011
2018,0,36,2.28382809127414,3.83434132015634
1999,1,19,5.81862749577256,6.99761957617266
2000,1,16,6.14859126923907,7.37777717963395
2001,1,21,2.53971790235323,4.16169889498131
2002,1,20,5.58379400354511,6.94600587183611
2003,1,24,3.4534563821102,4.97916673258812
2004,1,19,3.5118535717727,4.86731163863119
2005,1,23,3.78181730290677,5.67704601026271
2006,1,30,2.49313037562875,4.14311718539147
2007,1,31,3.5723893198031,5.87718593131226
2008,1,21,5.00577878118212,6.97246564424073
2009,1,25,4.28866333320111,6.39913703729598
2010,1,27,3.42026637853139,5.43374645245487
2011,1,28,2.18534663383808,3.68025504703515
2012,1,30,1.86265624598221,3.12369723645072
2014,1,25,2.47698559021187,4.00645024460277
2016,1,26,2.18145987112209,3.66307220670427
2018,1,25,2.82426118671883,4.54607827428512
1999,all,20,5.85401029034276,7.07173977726764
2000,all,26,5.86240642957429,7.1911331120439
2001,all,26,1.8823402720054,3.02264432434246
2002,all,27,4.27789157551722,5.49671508267858
2003,all,27,4.17883098419946,5.40938388556643
2004,all,26,3.95526383891149,5.46403471785988
2005,all,31,2.54421825313122,4.0722363349666
2006,all,37,1.85870937311843,3.07300460260532
2007,all,38,2.60458806827967,4.41715893761684
2008,all,30,3.99930918488011,5.89376519898694
2009,all,31,2.3532611874837,3.93506414028313
2010,all,33,1.76482630975756,2.9887109976561
2011,all,36,1.95423909388186,3.32027095088734
2012,all,37,1.74110941702336,2.82908597494343
2014,all,33,2.14553844154697,3.46257915699817
2016,all,33,2.00309613302967,3.23847697983953
2018,all,39,2.30621982387688,3.87160627992606
