YEAR,protected_status,richness,simpson,shannon
1999,0,8,2.58829696228822,3.041776127738
2000,0,7,2.67625869287081,3.28650340235832
2001,0,8,2.95582730404447,3.54803560824415
2002,0,10,2.45566142153759,3.1922012467075
2003,0,8,2.27627868920714,2.68907744872586
2004,0,8,3.36334927426838,4.24242959481205
2005,0,9,2.37392197207238,2.98675304818363
2006,0,8,2.57130549186794,3.30582892595636
2007,0,10,3.53291587519737,4.29119802933792
2008,0,9,2.38340735844536,3.12956015173693
2009,0,11,2.99223201803919,3.56342357999833
2010,0,10,2.45607861922489,2.96909137131292
2011,0,9,2.49574087659856,3.05453372701345
2012,0,7,2.27199819038365,2.98855816268303
2014,0,9,2.26190871823896,3.11461352609782
2016,0,9,2.63788679200211,3.51425778116484
2018,0,8,2.77811591124047,3.54283435606839
1999,1,8,1.55715982336832,2.0744952910603
2000,1,8,2.6667337784099,3.33402884942525
2001,1,8,2.18509334018803,2.92281367473012
2002,1,8,2.69732231685828,3.47462327094346
2003,1,8,2.23467111493332,3.04743016509626
2004,1,8,2.16417454243062,2.95054017919885
2005,1,7,2.24724433656767,3.11213011177436
2006,1,8,2.45592690696459,3.40630642719509
2007,1,8,2.4244214698372,3.30864822576563
2008,1,8,1.9643820381766,2.81932421545755
2009,1,11,2.32220947217724,3.15201153757886
2010,1,9,2.43900625558825,3.01894764972537
2011,1,8,2.60202417542478,3.30922790865293
2012,1,8,1.87319432023844,2.6329835183079
2014,1,8,2.19889532195334,3.09279197908351
2016,1,9,2.50881932996903,3.46472824973857
2018,1,10,2.26597778004075,3.16826194269342
1999,all,8,2.56756945266544,3.01704463533447
2000,all,8,2.76387470161849,3.41119629170755
2001,all,9,2.93199685501242,3.52300639998211
2002,all,10,2.48077092912319,3.25191676379515
2003,all,9,2.29934486352896,2.82434036822475
2004,all,9,3.22749246837596,4.14976136013491
2005,all,9,2.38019166655997,3.03447386844741
2006,all,8,2.56803289150011,3.3323965470338
2007,all,11,3.43286482806851,4.22597678469677
2008,all,9,2.35265322367877,3.11466762793147
2009,all,11,2.97168828874259,3.56780013970127
2010,all,10,2.45850466600837,2.9815992606374
2011,all,9,2.50217472817984,3.07287256450343
2012,all,8,2.24735508544137,2.97114882614349
2014,all,9,2.25883176690085,3.11960392410226
2016,all,10,2.6368815642034,3.53816377421912
2018,all,10,2.75996042368085,3.54271575582822
